scenario,folder,cruise_speed_ms,wind_dir_deg,wind_speed_ms,cruise_alt_ft,n_drones,duration_s,n_records,states_file,states_mb
baseline__calm,baseline,20,0,0,100,6911,259,631424,states/baseline__calm.parquet,25.28
baseline__e10,baseline,20,90,10,100,6911,518,904887,states/baseline__e10.parquet,34.93
baseline__n10,baseline,20,0,10,100,6911,542,918430,states/baseline__n10.parquet,35.36
baseline__s10,baseline,20,180,10,100,6911,528,913914,states/baseline__s10.parquet,35.21
baseline__w10,baseline,20,270,10,100,6911,515,928670,states/baseline__w10.parquet,35.7
alt180__calm,alt180,20,0,0,180,6911,260,631560,states/alt180__calm.parquet,25.77
alt180__e10,alt180,20,90,10,180,6911,543,905743,states/alt180__e10.parquet,35.95
alt180__n10,alt180,20,0,10,180,6911,526,917905,states/alt180__n10.parquet,36.34
alt180__s10,alt180,20,180,10,180,6911,527,914488,states/alt180__s10.parquet,36.24
alt180__w10,alt180,20,270,10,180,6911,530,929602,states/alt180__w10.parquet,36.78
alt200__calm,alt200,20,0,0,200,6911,261,631780,states/alt200__calm.parquet,25.93
alt200__e10,alt200,20,90,10,200,6911,523,904614,states/alt200__e10.parquet,36.1
alt200__n10,alt200,20,0,10,200,6911,528,917819,states/alt200__n10.parquet,36.48
alt200__s10,alt200,20,180,10,200,6911,535,913736,states/alt200__s10.parquet,36.36
alt200__w10,alt200,20,270,10,200,6911,517,928845,states/alt200__w10.parquet,36.91
speed15__calm,speed15,15,0,0,100,6911,344,809393,states/speed15__calm.parquet,31.24
speed15__e10,speed15,15,90,10,100,6911,1020,1471479,states/speed15__e10.parquet,56.53
speed15__n10,speed15,15,0,10,100,6911,1040,1501847,states/speed15__n10.parquet,57.43
speed15__s10,speed15,15,180,10,100,6911,1034,1494738,states/speed15__s10.parquet,57.26
speed15__w10,speed15,15,270,10,100,6911,1003,1524759,states/speed15__w10.parquet,58.12
wind5__calm,wind5,20,0,0,100,6911,259,631468,states/wind5__calm.parquet,25.26
wind5__e5,wind5,20,90,5,100,6911,347,685673,states/wind5__e5.parquet,27.31
wind5__n5,wind5,20,0,5,100,6911,345,690970,states/wind5__n5.parquet,27.52
wind5__s5,wind5,20,180,5,100,6911,348,689506,states/wind5__s5.parquet,27.46
wind5__w5,wind5,20,270,5,100,6911,343,695359,states/wind5__w5.parquet,27.7
speed10__calm,speed10,10,0,0,100,6911,514,1180354,states/speed10__calm.parquet,45.28
speed10__e5,speed10,10,90,5,100,6911,1039,1557076,states/speed10__e5.parquet,59.13
speed10__n5,speed10,10,0,5,100,6911,1027,1580683,states/speed10__n5.parquet,59.82
speed10__s5,speed10,10,180,5,100,6911,1005,1574956,states/speed10__s5.parquet,59.66
speed10__w5,speed10,10,270,5,100,6911,1002,1601455,states/speed10__w5.parquet,60.62
